12:28:28.092745 IP amd256.utah.cloudlab.us.40908 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080478 ecr 2617410162], length 59

12:28:28.093005 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40908: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410403 ecr 3589080478], length 123

12:28:28.093019 IP amd256.utah.cloudlab.us.40908 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080478 ecr 2617410403], length 0

12:28:28.095591 IP amd256.utah.cloudlab.us.40918 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080481 ecr 2617410166], length 59

12:28:28.095997 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40918: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410406 ecr 3589080481], length 123

12:28:28.096021 IP amd256.utah.cloudlab.us.40918 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080481 ecr 2617410406], length 0

12:28:28.096280 IP amd256.utah.cloudlab.us.40920 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080482 ecr 2617410166], length 59

12:28:28.096360 IP amd256.utah.cloudlab.us.40942 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080482 ecr 2617410167], length 59

12:28:28.096403 IP amd256.utah.cloudlab.us.40930 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080482 ecr 2617410166], length 59

12:28:28.096483 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40920: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410406 ecr 3589080482], length 123

12:28:28.096506 IP amd256.utah.cloudlab.us.40920 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080482 ecr 2617410406], length 0

12:28:28.096563 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40942: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410407 ecr 3589080482], length 123

12:28:28.096571 IP amd256.utah.cloudlab.us.40954 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080482 ecr 2617410167], length 59

12:28:28.096583 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40930: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410407 ecr 3589080482], length 123

12:28:28.096585 IP amd256.utah.cloudlab.us.40942 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080482 ecr 2617410407], length 0

12:28:28.096604 IP amd256.utah.cloudlab.us.40930 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080482 ecr 2617410407], length 0

12:28:28.096608 IP amd256.utah.cloudlab.us.40972 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080482 ecr 2617410167], length 59

12:28:28.096620 IP amd256.utah.cloudlab.us.40988 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080482 ecr 2617410167], length 59

12:28:28.096722 IP amd256.utah.cloudlab.us.40966 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080482 ecr 2617410167], length 59

12:28:28.096772 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40972: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410407 ecr 3589080482], length 123

12:28:28.096781 IP amd256.utah.cloudlab.us.40972 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080482 ecr 2617410407], length 0

12:28:28.096794 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40954: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410407 ecr 3589080482], length 123

12:28:28.096802 IP amd256.utah.cloudlab.us.40954 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080482 ecr 2617410407], length 0

12:28:28.096856 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40988: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410407 ecr 3589080482], length 123

12:28:28.096875 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40966: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410407 ecr 3589080482], length 123

12:28:28.096878 IP amd256.utah.cloudlab.us.40988 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080482 ecr 2617410407], length 0

12:28:28.096887 IP amd256.utah.cloudlab.us.40966 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080482 ecr 2617410407], length 0

12:28:28.096897 IP amd256.utah.cloudlab.us.40992 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080482 ecr 2617410167], length 59

12:28:28.097020 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.40992: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410407 ecr 3589080482], length 123

12:28:28.097041 IP amd256.utah.cloudlab.us.40992 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080482 ecr 2617410407], length 0

12:28:28.097134 IP amd256.utah.cloudlab.us.41004 > amd261.utah.cloudlab.us.8000: Flags [P.], seq 59:118, ack 124, win 502, options [nop,nop,TS val 3589080483 ecr 2617410167], length 59

12:28:28.097256 IP amd261.utah.cloudlab.us.8000 > amd256.utah.cloudlab.us.41004: Flags [P.], seq 124:247, ack 118, win 509, options [nop,nop,TS val 2617410407 ecr 3589080483], length 123

12:28:28.097277 IP amd256.utah.cloudlab.us.41004 > amd261.utah.cloudlab.us.8000: Flags [.], ack 247, win 502, options [nop,nop,TS val 3589080483 ecr 2617410407], length 0

